,0,1
0,Bitcoin Price,10289.38 USD
1,Bitcoin ROI,+7504.86%
2,Market Rank,#1
3,Market Cap,"184,453,392,208 USD"
4,24 Hour Volume,"17,318,483,701 USD"
5,Circulating Supply,"17,926,587 BTC"
6,Total Supply,"17,926,587 BTC"
7,Max Supply,"21,000,000 BTC"
8,All Time High,"20089.00 USD (Dec 17, 2017)"
9,All Time Low,"65.53 USD (Jul 05, 2013)"
10,52 Week High / Low,13796.49 USD / 3191.30 USD
11,90 Day High / Low,13796.49 USD / 8087.06 USD
12,30 Day High / Low,11528.19 USD / 9421.63 USD
13,7 Day High / Low,10898.76 USD / 10144.93 USD
14,24 Hour High / Low,10448.06 USD / 10144.93 USD
15,Yesterday's High / Low,10450.31 USD / 10144.93 USD
16,Yesterday's Open / Close,10443.23 USD / 10334.97 USD
17,Yesterday's Change,$-108.25 USD (-1.04%)
18,Yesterday's Volume,"$17,595,943,368 USD"
